"","region","supplysector","year","base.service"
"269","South America_Southern","FoodDemand_Staples",2010,37.2285276
"270","South America_Southern","FoodDemand_Staples",2015,40.9168453
"271","South Asia","FoodDemand_NonStaples",1975,12.7533833
"272","South Asia","FoodDemand_NonStaples",1990,18.9337751
"273","South Asia","FoodDemand_NonStaples",2005,31.0782507
"274","South Asia","FoodDemand_NonStaples",2010,42.7423862
"275","South Asia","FoodDemand_NonStaples",2015,55.7554121
"276","South Asia","FoodDemand_Staples",1975,76.3659931
"277","South Asia","FoodDemand_Staples",1990,108.1122951
"278","South Asia","FoodDemand_Staples",2005,158.3613407
"279","South Asia","FoodDemand_Staples",2010,159.4727515
"280","South Asia","FoodDemand_Staples",2015,163.8117767
"281","South Korea","FoodDemand_NonStaples",1975,5.8073642
"282","South Korea","FoodDemand_NonStaples",1990,13.3241672
"283","South Korea","FoodDemand_NonStaples",2005,19.4855603
"284","South Korea","FoodDemand_NonStaples",2010,25.4370429
"285","South Korea","FoodDemand_NonStaples",2015,31.4665213
"286","South Korea","FoodDemand_Staples",1975,32.1264683
"287","South Korea","FoodDemand_Staples",1990,29.2763826
"288","South Korea","FoodDemand_Staples",2005,27.0415096
"289","South Korea","FoodDemand_Staples",2010,27.6293596
"290","South Korea","FoodDemand_Staples",2015,25.2730449
"291","Southeast Asia","FoodDemand_NonStaples",1975,35.7168223
"292","Southeast Asia","FoodDemand_NonStaples",1990,61.5863993
"293","Southeast Asia","FoodDemand_NonStaples",2005,102.4018764
"294","Southeast Asia","FoodDemand_NonStaples",2010,141.4558669
"295","Southeast Asia","FoodDemand_NonStaples",2015,170.4025972
"296","Southeast Asia","FoodDemand_Staples",1975,118.3378983
"297","Southeast Asia","FoodDemand_Staples",1990,152.6009964
"298","Southeast Asia","FoodDemand_Staples",2005,215.9137904
"299","Southeast Asia","FoodDemand_Staples",2010,218.6772151
"300","Southeast Asia","FoodDemand_Staples",2015,225.2957365
"301","Taiwan","FoodDemand_NonStaples",1975,6.0555949
"302","Taiwan","FoodDemand_NonStaples",1990,12.0535628
"303","Taiwan","FoodDemand_NonStaples",2005,13.9051512
"304","Taiwan","FoodDemand_NonStaples",2010,15.437222
"305","Taiwan","FoodDemand_NonStaples",2015,16.2302033
"306","Taiwan","FoodDemand_Staples",1975,10.4195717
"307","Taiwan","FoodDemand_Staples",1990,8.220999
"308","Taiwan","FoodDemand_Staples",2005,8.978316
"309","Taiwan","FoodDemand_Staples",2010,8.6024939
"310","Taiwan","FoodDemand_Staples",2015,8.5180387
"311","USA","FoodDemand_NonStaples",1975,151.4847596
"312","USA","FoodDemand_NonStaples",1990,196.8642967
"313","USA","FoodDemand_NonStaples",2005,248.9760037
"314","USA","FoodDemand_NonStaples",2010,243.4472482
"315","USA","FoodDemand_NonStaples",2015,246.4553209
"316","USA","FoodDemand_Staples",1975,75.1563641
"317","USA","FoodDemand_Staples",1990,111.2594723
"318","USA","FoodDemand_Staples",2005,133.6402421
"319","USA","FoodDemand_Staples",2010,126.5301904
"320","USA","FoodDemand_Staples",2015,124.9759772
